area,year,quarter,latitude,longitude,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,nearest_tower_distance_km,tower_count_1km,tower_count_2km,tower_count_5km,visible_tower_count_5km,digital_elevation_model,region_enc,typeOfArea_enc,city_enc,demand_growth_pct,region,typeOfArea,city,block_number,tower_density_ratio,year_trend,area_rolling_d_mbps,area_median_d,area_median_u,area_median_lat,area_test_count,distance_x_density
Abu Baham,2024,4,26.20719851,50.54260254,299.335,25.7425,15,9,0.985405947,0.5,28.5,761,540,7,0,4,1,1.769736842,Capital Governorate,PPL,Abu Baham,411,0.000656168,4,197.63575,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2025,1,26.20719851,50.54260254,477.1155,47.7545,14,32,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.850356295,Capital Governorate,PPL,Abu Baham,411,0.000656168,5,307.3325,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2025,2,26.20719851,50.54260254,193.1435,12.361,20.5,10,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.850356295,Capital Governorate,PPL,Abu Baham,411,0.000656168,5,388.22525,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2025,3,26.20719851,50.54260254,401.7655,28.842,15,10,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.850356295,Capital Governorate,PPL,Abu Baham,411,0.000656168,5,335.1295,116.48325,15.60975,19,1210,0.001293184
Abu Baham,2025,4,26.20719851,50.54260254,180.871,12.506,47,11,0.985405947,0.5,28.5,761,540,7,0,4,1,-0.850356295,Capital Governorate,PPL,Abu Baham,411,0.000656168,5,297.4545,116.48325,15.60975,19,1210,0.001293184
Abu Saiba,2020,1,26.21951904,50.49865723,43.44425,16.36625,19.5,95,0.273891209,24.75,76.5,228,148,8,2,5,2,0,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,0,152.4206623,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2020,2,26.21951904,50.49865723,25.4525,9.0155,18.75,82,0.273891209,24.75,76.5,228,148,8,2,5,2,0,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,0,43.44425,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2020,3,26.21951904,50.49865723,39.03275,18.891,17.75,86,0.273891209,24.75,76.5,228,148,8,2,5,2,0,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,0,34.448375,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2020,4,26.21951904,50.49865723,156.3075,18.1375,17.25,140,0.273891209,24.75,76.5,228,148,8,2,5,2,0,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,0,32.242625,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2021,1,26.21951904,50.49865723,81.59625,14.81525,21.25,85,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.099255583,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,1,97.670125,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2021,2,26.21951904,50.49865723,102.08675,14.45125,19,83,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.099255583,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,1,118.951875,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2021,3,26.21951904,50.49865723,69.9635,15.345,18.25,88,0.273891209,24.75,76.5,228,148,8,0,5,2,-0.099255583,Capital Governorate,PPLX,Abu Saiba,502,0.108078603,1,91.8415,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2021,4,26.21951904,50.49865723,146.27325,26.69675,22.5,107,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.099255583,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,1,86.025125,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2022,1,26.21951904,50.49865723,110.28125,18.14975,18,130,0.273891209,24.75,76.5,228,148,8,2,5,2,0.669421488,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,2,108.118375,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2022,2,26.21951904,50.49865723,137.867,20.25875,18.5,107,0.273891209,24.75,76.5,228,148,8,2,5,2,0.669421488,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,2,128.27725,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2022,3,26.21951904,50.49865723,225.58825,25.157,42.75,274,0.273891209,24.75,76.5,228,148,8,2,5,2,0.669421488,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,2,124.074125,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2022,4,26.21951904,50.49865723,262.95825,30.5145,27.25,95,0.273891209,24.75,76.5,228,148,8,2,5,2,0.669421488,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,2,181.727625,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2023,1,26.21951904,50.49865723,247.3725,19.7965,28,49,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.435643564,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,3,244.27325,218.921875,25.25225,18.625,2630,0.001196031
Abu Saiba,2023,2,26.21951904,50.49865723,230.5065,30.5125,17,62,0.273891209,24.75,76.5,228,148,8,2,5,2,-0.435643564,Northern Governorate,PPLX,Abu Saiba,504,0.108078603,3,255.165375,218.921875,25.25225,18.625,2630,0.001196031
